id,sp,height,db,dbh,dis,rumbo_c,rumbo,plot,obs,id_tree_plot
1,Quercus pyrenaica,17.8,68,62,7.03,212,32,CAM1,"árbol 2, parcela fenología",
2,Quercus pyrenaica,16.2,73,67,14.36,250,70,CAM1,,
3,Quercus pyrenaica,15.4,65,61,10.82,30,210,CAM1,,
4,Quercus pyrenaica,14.5,54,51,6.54,48,228,CAM1,,
5,Quercus pyrenaica,15.6,81,66,14.74,110,290,CAM1,,
6,Quercus pyrenaica,15.4,51,48,6.38,158,338,CAM1,,
7,Quercus pyrenaica,14.9,38.5,36,8.02,79,259,CAM2,,
8,Quercus pyrenaica,16.4,23,22.5,15.82,85,265,CAM2,,
9,Quercus pyrenaica,15.8,28,26.5,16.05,88,268,CAM2,,
10,Quercus pyrenaica,17.1,31.5,27,17.32,90,270,CAM2,,
11,Quercus pyrenaica,18.1,30.5,28,18.49,86,266,CAM2,,
12,Acer opalus granatensis,9.8,31,28.5,19.22,108,288,CAM2,,
13,Acer opalus granatensis,8.7,24,21,19.6,110,290,CAM2,,
14,Acer opalus granatensis,8.1,19.5,17.2,19.82,98,278,CAM2,,
15,Crataegus ,5.1,8.5,7.6,17.75,80,260,CAM2,,
16,Sorbus aria,8.2,17.2,16.5,12.47,116,296,CAM2,,
17,Sorbus aria,5.4,12,11.5,13.4,120,300,CAM2,,
18,Sorbus aria,5.1,11,10.2,14,121,301,CAM2,,
19,Sorbus aria,7.9,18.5,17,13.5,125,305,CAM2,,
20,Quercus pyrenaica,17.6,44,37,14.1,130,310,CAM2,,
21,Sorbus aria,12.7,16.5,15,14.36,134,314,CAM2,,
22,Quercus pyrenaica,16.5,46.5,45,15.92,142,322,CAM2,,
23,Quercus pyrenaica,20.6,58.5,50.6,15.05,170,350,CAM2,,
24,Acer opalus granatensis,9.6,20.5,19,10.49,164,344,CAM2,,
25,Quercus pyrenaica,18.7,58,49.2,7.48,162,342,CAM2,,
26,Quercus pyrenaica,17.5,39.1,36.2,4.91,152,332,CAM2,,
27,Acer opalus granatensis,10.8,25.4,21.2,3.13,120,300,CAM2,,
28,Quercus pyrenaica,12.2,40.2,36.1,6.04,312,132,CAM2,,
29,Quercus pyrenaica,13.1,41.2,34.5,10.29,298,118,CAM2,,
30,Quercus pyrenaica,17.1,37,33.1,11.05,302,122,CAM2,,
31,Quercus pyrenaica,18.7,36.6,34.2,12.73,304,124,CAM2,,
32,Quercus pyrenaica,17.3,35.6,34,12.56,300,120,CAM2,,
33,Quercus pyrenaica,15.4,30.8,29.2,14.87,318,138,CAM2,,
34,Quercus pyrenaica,17.8,17.5,16.9,13.49,312,132,CAM2,,
35,Quercus pyrenaica,17.9,42.5,40,14.05,314,134,CAM2,,
36,Quercus pyrenaica,18.9,49.5,45.5,11.62,316,136,CAM2,,
37,Quercus pyrenaica,17.8,38.1,36.9,3.25,2,182,CAM2,,
38,Quercus pyrenaica,18.1,37.2,36.8,2.9,1,181,CAM2,,
39,Quercus pyrenaica,16.4,44.9,39.8,4.48,,172,CAM3,,
40,Quercus pyrenaica,11.4,26.8,22.5,5.27,,180,CAM3,,
41,Quercus pyrenaica,14.2,47.8,29.6,8.39,,204,CAM3,base fusionada (ver fotos),
42,Quercus pyrenaica,14.2,47.8,29.4,8.7,,206,CAM3,base fusionada (ver fotos),
43,Quercus pyrenaica,14.7,57.3,55.3,2.71,,320,CAM3,,
44,Crataegus monogyna,6.5,14,9.5,7.2,,42,CAM3,,
45,Crataegus monogyna,5.8,13,9.1,7.8,,46,CAM3,,
46,Quercus pyrenaica,18.8,50.2,44.3,4.63,,58,CAM3,,
47,Quercus pyrenaica,14.2,36.1,32.6,5.22,,64,CAM3,,
48,Quercus pyrenaica,17.1,46.6,42.8,5.3,,66,CAM3,,
49,Quercus pyrenaica,14.8,46.1,40.7,5.07,,80,CAM3,,
50,Quercus pyrenaica,18.8,52.2,41.4,4.61,,92,CAM3,,
51,Quercus pyrenaica,9,36,31.5,9.64,,121,CAM3,,
52,Quercus pyrenaica,11.4,39.7,31.3,9.69,,123,CAM3,,
53,Quercus pyrenaica,14.6,76.6,39,8.81,,130,CAM3,base fusionada (ver fotos),
54,Quercus pyrenaica,14.9,76.6,50.5,9.13,,131,CAM3,base fusionada (ver fotos),
55,Quercus pyrenaica,18.3,58.6,49.8,7.01,,148,CAM3,,
56,Quercus pyrenaica,13.3,86.6,49.7,7.6,,258,CAM4,base fusionada,
